STATION,LATITUDE,LONGITUDE,STATION_BOTTOM_DEPTH,STRATA,ACTIVE,AREA,NOTES
137,3738,12246,53,C,N,Gulf of the Farallones,Stopped sampling in 1997 due to jellyfish
138,3742,12254.5,55,C,Y,Gulf of the Farallones,NULL
139,3747.5,12252,55,C,Y,Gulf of the Farallones,NULL
140,3751.3,12237.9,20,C,N,Gulf of the Farallones,NULL
141,3751,12246,40,C,N,Gulf of the Farallones,Stopped sampling in 1997 due to jellyfish
142,3755.7,12247.2,31,C,N,Gulf of the Farallones,NULL
143,3758,12256,51,C,N,Gulf of the Farallones,Stopped sampling in 1997 due to jellyfish
144,3737,12302.5,212,C,N,Farallones Outside,NULL
145,3737,12307.8,1029,C,N,Farallones Outside,NULL
148,3736.8,12324.5,2045,C,N,Farallones Outside,NULL
149,3736.5,12330.5,2978,C,N,Farallones Outside,NULL
150,3736.5,12337,3308,C,N,Farallones Outside,NULL
